coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
06c6ed3b-3ffa-4171-8fa3-11575d494388,,,preservedspecimen,,anolis porcatus,249211,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,jefferson par,,2017-02-10T14:56:45.504269+00:00,0.1323529411764706,,,,,,c830019a49a2e8426d1a0ff84ff33c44baee65d1,,dactyloidae,reg 620,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,65edeac9-6fa7-4dbf-9136-9dff2b458492,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\65edeac9-6fa7-4dbf-9136-9dff2b458492""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,06c6ed3b-3ffa-4171-8fa3-11575d494388,,,,
a044c1fd-5790-446e-89d1-b5d0f0b8e104,,,preservedspecimen,,anolis porcatus,249216,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,jefferson par,,2017-02-10T14:56:45.504269+00:00,0.1323529411764706,,,,,,af2689b891054bbc878c2faf31239459caa328d9,,dactyloidae,reg 625,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,7046d439-a96b-4213-8f3d-7523eb491a17,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\7046d439-a96b-4213-8f3d-7523eb491a17""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,a044c1fd-5790-446e-89d1-b5d0f0b8e104,,,,
14df5dfc-63eb-4299-9f31-3c42bfe99e52,,,preservedspecimen,,anolis porcatus,249217,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,jefferson par,,2017-02-10T14:56:45.504269+00:00,0.1323529411764706,,,,,,7e20d4e8203621b0cda3a86b07c9859e73f62387,,dactyloidae,reg 626,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,455c2b85-0086-4861-9d91-b5a1e901494e,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\455c2b85-0086-4861-9d91-b5a1e901494e""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,14df5dfc-63eb-4299-9f31-3c42bfe99e52,,,,
930e4c07-b931-4451-9931-02aafe88d98c,,,preservedspecimen,,anolis porcatus,194377,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,j. sills,,,north america,,united states,usa,jones co,1965-04-28,2017-02-10T14:56:45.504269+00:00,0.17647058823529413,,,,,,1f844821dcbec1f8507b6680092b104d63376cb6,,dactyloidae,3300,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,1b4e3ee1-9bc5-4f6f-a243-685cd46900aa,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\1b4e3ee1-9bc5-4f6f-a243-685cd46900aa""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,118,,2467252,accepted,species,,930e4c07-b931-4451-9931-02aafe88d98c,,,,
ac0dc8a5-06a7-4ddc-a364-e86989e808bb,,,preservedspecimen,,anolis porcatus,194379,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,d. jordan,,,north america,,united states,usa,forrest co,1964-03-27,2017-02-10T14:56:45.504269+00:00,0.17647058823529413,,,,,,efa37b9054238e0d89aca8b66dea708af703c697,,dactyloidae,3116,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,720d936c-600a-49c3-a6b3-a16c9495a62c,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\720d936c-600a-49c3-a6b3-a16c9495a62c""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,87,,2467252,accepted,species,,ac0dc8a5-06a7-4ddc-a364-e86989e808bb,,,,
04beaab8-8361-4bc0-b816-9f6cbbf80b7c,,,preservedspecimen,,anolis porcatus,249244,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,jefferson par,,2017-02-10T14:56:45.504269+00:00,0.1323529411764706,,,,,,00eec4332748067cc7fe54bc2670c326786a7cbe,,dactyloidae,reg 652,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,a9f1dfbe-90a2-440a-99fb-ebc1a517892f,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\a9f1dfbe-90a2-440a-99fb-ebc1a517892f""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,04beaab8-8361-4bc0-b816-9f6cbbf80b7c,,,,
adfcae28-8964-428b-ae98-653f19b9cab6,,,preservedspecimen,,anolis porcatus,249248,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,,,2017-02-10T14:56:45.504269+00:00,0.11764705882352941,,,,,,f1d7b178e120bae1e40169e7066aa3f2476cc8c2,,dactyloidae,reg 656,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,4e4ee219-aa22-4da3-8ebc-831dbd27f08c,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\4e4ee219-aa22-4da3-8ebc-831dbd27f08c""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,adfcae28-8964-428b-ae98-653f19b9cab6,,,,
b7a6a373-9543-4180-be8a-a268bc6099a5,,,preservedspecimen,,anolis porcatus,249256,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,,,2017-02-10T14:56:45.504269+00:00,0.11764705882352941,,,,,,f7f53370477d7dfc4529607fd92f02bb4342967c,,dactyloidae,reg 664,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,9a14388c-5a83-46e5-827a-f67b408c7173,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\9a14388c-5a83-46e5-827a-f67b408c7173""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,b7a6a373-9543-4180-be8a-a268bc6099a5,,,,
a1ecb05c-7dac-4a48-87bf-34babafb90bd,,,preservedspecimen,,anolis porcatus,249270,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,,,2017-02-10T14:56:45.504269+00:00,0.11764705882352941,,,,,,4aba004af5d00f6103b0d7fcddd081e9a7e871d9,,dactyloidae,reg 678,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,9cbf8850-07ee-4b73-8050-66ca61c30907,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\9cbf8850-07ee-4b73-8050-66ca61c30907""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,a1ecb05c-7dac-4a48-87bf-34babafb90bd,,,,
7f3367c0-e04e-4f0d-82e3-56ee6de0d084,,,preservedspecimen,,anolis porcatus,249273,reptilia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,,,,north america,,united states,usa,,,2017-02-10T14:56:45.504269+00:00,0.11764705882352941,,,,,,886a3922c6955453c7116616e9ced3769958ea68,,dactyloidae,reg 681,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_specificepithet_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_order_replaced"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,anolis,,,,false,false,animalia chordata reptilia sauria polychrotidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,fef01dd7-2bb1-49fb-bd03-7a7a7c8b842b,squamata,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\fef01dd7-2bb1-49fb-bd03-7a7a7c8b842b""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,anolis carolinensis,porcatus,,,2467252,accepted,species,,7f3367c0-e04e-4f0d-82e3-56ee6de0d084,,,,
