coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
146209a3-7f6d-48ca-a7f9-937e0a5a797c,,,preservedspecimen,,anolis porcatus,173796,reptilia,herps,,,r e etheridge & w auffenberg,,,north america,,united states,usa,alachua,1958-08-21T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.22058823529411764,,,,,,414d765cc9e62c7b8ddf9d02c57b79ed9b79904d,1958-08-21,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:173796,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:173796""]",,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,233,florida,2467252,accepted,species,,146209a3-7f6d-48ca-a7f9-937e0a5a797c,,united states | florida | alachua,,
1516a2a0-40e5-4442-b990-bf8bde166e47,,,preservedspecimen,,anolis porcatus,173773,reptilia,herps,,,r e etheridge & c f walker,,,north america,,united states,usa,monroe,1958-08-16T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.22058823529411764,,,,,,722a221aad24987b24260198667dc39ffc8fca31,1958-08-16,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:173773,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:173773""]",,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,228,florida,2467252,accepted,species,,1516a2a0-40e5-4442-b990-bf8bde166e47,,united states | florida | monroe,,
17d771b4-f199-477b-ae94-57c90d7801ae,,,preservedspecimen,,anolis porcatus,226771,reptilia,herps,,,fred kraus & e teodoro,,,oceania,,united states,usa,honolulu,1999-07-31T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.25,,,,,,ce9826661fd15987f32ac0cca311c6ba20bb795e,1999-07-31,dactyloidae,,"[""dwc_family_replaced"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""gbif_reference_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:226771,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:226771""]",fk 3995,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,212,hawaii,2467252,accepted,species,,17d771b4-f199-477b-ae94-57c90d7801ae,,united states | hawaii | oahu,,north pacific ocean
0853b362-8b09-4080-82c8-40ed92d512be,,,preservedspecimen,,anolis porcatus,173767,reptilia,herps,,,r e etheridge & c f walker,,,north america,,united states,usa,monroe,1958-08-16T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.22058823529411764,,,,,,c4949a7f845286d4c652fb1fc148a3eea3dc00ed,1958-08-16,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:173767,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:173767""]",,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,228,florida,2467252,accepted,species,,0853b362-8b09-4080-82c8-40ed92d512be,,united states | florida | monroe,,
3d109552-ac00-4f52-9b8a-7da676298c04,,,preservedspecimen,,anolis porcatus,108380,reptilia,herps,,,a s and w e duellman and j harrison,,,north america,,united states,usa,monroe,1953-06-25T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.23529411764705882,,,,,,f2a3ecff89d9e33669a1dfedb26d52a21ebbedad,1953-06-25,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,3.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:108380,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:108380""]",6209-11,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,176,florida,2467252,accepted,species,,3d109552-ac00-4f52-9b8a-7da676298c04,,united states | florida | monroe,,
3ea05f60-2c04-494a-a471-defa0e6c5fa8,,,preservedspecimen,,anolis porcatus,241795,reptilia,herps,,,um flint biology 391 class,,,north america,,united states,usa,liberty,1967-04-12T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.22058823529411764,,,,,,bb89db6ea46e8a199ed060ea59ee55130f83e119,1967-04-12,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:241795,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:241795""]",,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,102,florida,2467252,accepted,species,,3ea05f60-2c04-494a-a471-defa0e6c5fa8,,united states | florida | liberty,,
3ee178f8-b684-4738-a9c5-3f8aba0ea424,,,preservedspecimen,,anolis porcatus,148834,reptilia,herps,,,g b rabb,,,north america,,united states,usa,dorchester,1954-06-04T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.22058823529411764,,,,,,407afb55835381bef0f9933538d3c7c15fe2b2e1,1954-06-04,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:148834,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:148834""]",,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,155,south carolina,2467252,accepted,species,,3ee178f8-b684-4738-a9c5-3f8aba0ea424,,united states | south carolina | dorchester,,
35ce0098-25ab-4084-ba63-2022900c13df,,,preservedspecimen,,anolis porcatus,108379,reptilia,herps,,,a s and w e duellman,,,north america,,united states,usa,monroe,1953-06-25T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.23529411764705882,,,,,,027450a2e784c91101c9e789f09d9248b4e54664,1953-06-25,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,4.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:108379,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:108379""]",6195-6,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,176,florida,2467252,accepted,species,,35ce0098-25ab-4084-ba63-2022900c13df,,united states | florida | monroe,,
1d66cfe8-8c10-4b2b-92f6-e43c2c910b12,,,preservedspecimen,,anolis porcatus,225263,reptilia,herps,,,f kraus,,,oceania,,united states,usa,maui,1999-08-20T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.25,,,,,,4d6682b7e68c35ca5b4c5a5dde1e18a118fc4510,1999-08-20,dactyloidae,,"[""dwc_family_replaced"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_canonicalname_added"", ""gbif_reference_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:225263,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:225263""]",fk 4062,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,232,hawaii,2467252,accepted,species,,1d66cfe8-8c10-4b2b-92f6-e43c2c910b12,,united states | hawaii | lanai,,north pacific ocean
21ac0d6a-3b62-436d-b7e4-e4daf832b33e,,,preservedspecimen,,anolis porcatus,97480,reptilia,herps,,,f n blanchard,,,north america,,united states,usa,orleans,1926-04-19T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.22058823529411764,,,,,,f65cde54b49f33b1c1ebd2561b2081a7f896c6af,1926-04-19,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,1.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:97480,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:97480""]",,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,109,louisiana,2467252,accepted,species,,21ac0d6a-3b62-436d-b7e4-e4daf832b33e,,united states | louisiana | orleans,,
2438c88c-99ef-436d-a4e5-f2bec409c764,,,preservedspecimen,,anolis porcatus,73993,reptilia,herps,,,walker and dury,,,north america,,united states,usa,bryan,1933-02-27T00:00:00+00:00,2017-01-08T07:26:08.174144+00:00,0.22058823529411764,,,,,,91fbc652ede3054a299b026e1d09f934099cfd2c,1933-02-27,dactyloidae,,"[""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_specificepithet_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""taxon_match_failed""]",,anolis,,,,false,false,sauria | polychrotidae | anolis,,4.0,,ummz,urn:lsid:biocol.org:col:34917,,animalia,,,,,,,,,,,,,,,,urn:catalog:ummz:herps:73993,squamata,chordata,"[""348f4784-4786-45be-8d0f-85f2b189eba8\\urn:catalog:ummz:herps:73993""]",,348f4784-4786-45be-8d0f-85f2b189eba8,anolis carolinensis,porcatus,58,georgia,2467252,accepted,species,,2438c88c-99ef-436d-a4e5-f2bec409c764,,united states | georgia | bryan,,
