coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:nameAccordingToID,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:originalNameUsage,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,fcc:datePicked,fcc:pickedBy,gbif:Identifier,gbif:Reference,idigbio:preservative,idigbio:recordId,idigbio:subfamily,idigbio:substrate,idigbio:superfamily,symbiota:recordEnteredBy,symbiota:verbatimScientificName
702f8add-65ea-418f-86ec-a690120f0c53,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192460,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Mobile Co,,herps-30-jan-2017,,,09,,,,,,,,,,09,,,,,,Polychrotidae,,580,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,db269cc2-2827-4e27-b01f-392221dc135c,,,Sauria,2021817,,,,,,FMNH,,Chordata,,,,,Dennis,,,,,,Anolis carolinensis,,,,carolinensis,09,,,,,,,,,,,,,,,,,,,,1962,,,,,,,,,,,
69cdbc54-bdb0-4fdd-beff-94d4301ccfc5,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192464,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Winston Co,,herps-30-jan-2017,,,17,,,,,,,,,,17,,,,,,Polychrotidae,,623,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,d60754c8-2bdf-49e7-ad31-b4b71c40fcad,,,Sauria,2021821,,,,,,FMNH,,Chordata,,,,,G. Thomas,,,,,,Anolis carolinensis,,,,carolinensis,17,,,,,,,,,,,,,,,,,,,,1962,,,,,,,,,,,
aeb9d444-bf65-445f-a747-57ffdaef0337,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192469,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Hinds Co,,herps-30-jan-2017,,,08,,,,,,,,,,08,,,,,,Polychrotidae,,1003,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,df076fa4-b37c-47e5-a1b2-d8dce759f18d,,,Sauria,2021826,,,,,,FMNH,,Chordata,,,,,L. A. Cambre,,,,,,Anolis carolinensis,,,,carolinensis,08,,,,,,,,,,,,,,,,,,,,1958,,,,,,,,,,,
0d56cf5c-2545-4dba-9ecd-41fd959829c0,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192474,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Choctaw Co,,herps-30-jan-2017,,,04,,,,,,,,,,04,,,,,,Polychrotidae,,1184,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,04,,,,,,,ICZN,,,aaee7bc3-5672-4cd4-abfe-dea6add4a12f,,,Sauria,2021831,,,,,,FMNH,,Chordata,,,,,S. McIntire,,,,,,Anolis carolinensis,,,,carolinensis,04,,,,,,,,,,,,,,,,,,,,1958,,,,,,,,,,,
8d612068-3426-4804-afc8-a5fcd0310297,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192482,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Noxubee Co,,herps-30-jan-2017,,,31,,,,,,,,,,31,,,,,,Polychrotidae,,1736,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,b67711c1-a2fd-44fc-9be4-29614d57d81f,,,Sauria,2021839,,,,,,FMNH,,Chordata,,,,,"Joe Knapp, Abner Hammond",,,,,,Anolis carolinensis,,,,carolinensis,31,,,,,,,,,,,,,,,,,,,,1960,,,,,,,,,,,
735dd793-ca8d-4c50-913e-f0a0b46a2068,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:15:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244334,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,21,,,,,,,,,,21,,,,,,Polychrotidae,,813,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,1b5bb5f6-cfcf-4e2d-b8c2-a8584c466caf,,,Sauria,2073748,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,21,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,
decdafdd-b85e-42ba-9835-dc7dbf5840a5,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:15:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244341,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,21,,,,,,,,,,21,,,,,,Polychrotidae,,813,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,67bed852-8bfe-448d-840b-7e9c220624ed,,,Sauria,2073755,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,21,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,
1cdb8acc-2c9a-4ee9-b1f9-addc56337dc7,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:15:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244347,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,21,,,,,,,,,,21,,,,,,Polychrotidae,,813,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,bdf683c2-03c2-455d-98f4-975aa0794bcc,,,Sauria,2073761,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,21,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,
2479f2ad-8cea-4380-8c7a-3444db4716ee,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-3-11T11:14:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244277,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,,,,,,,,,,,,,,,,,Polychrotidae,,425/REG 810.40,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,ICZN,,,62f2e7ea-319d-43c6-88af-3a5dccca56d9,,,Sauria,2074128,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a5b2672-dd0f-42b6-bbe5-bafb75b6b398,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-3-11T11:14:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244279,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,,,,,,,,,,,,,,,,,Polychrotidae,,425/REG 810.4,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,ICZN,,,cd3fd96e-6767-4815-b1f9-411b95189a2a,,,Sauria,2074132,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
