coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
a7341d08-8c0a-4e2f-ab5f-f0be2e4c2bdc,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",udcc_tcn 00060745,insecta,udcc,303067f9-527d-458e-81ea-0894c44b9e23,,f. m. jones,,,north america,,united states,usa,new castle,,2016-11-10T16:18:35.574702+00:00,0.17647058823529413,,,,,,1fccd65fdc76b9c9675ba08df6788cb3a6b165c7,,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_country_replaced"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,papilio,,,,true,true,,,,,ud,,,animalia,,,,,,,,,,,"[""26d071a2-99d9-4195-a896-1713aea529bc"", ""9cefd40b-2936-4cde-a76d-39d12a4fddb5""]",,,,,84c5ff42-92b7-4f2f-809a-a1ed49dcea9f,lepidoptera,arthropoda,"[""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\22894326"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\84c5ff42-92b7-4f2f-809a-a1ed49dcea9f"", ""urn:uuid:84c5ff42-92b7-4f2f-809a-a1ed49dcea9f""]",,2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,papilio glaucus,glaucus,,delaware,1938016,accepted,species,,a7341d08-8c0a-4e2f-ab5f-f0be2e4c2bdc,august 12th,,,
45f4f63e-558e-4a47-9e0f-36f525045243,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",udcc_tcn 00060756,insecta,udcc,303067f9-527d-458e-81ea-0894c44b9e23,,r. l. snyder,,,north america,,united states,usa,new castle,1998-08-20T00:00:00+00:00,2016-11-10T16:18:35.574702+00:00,0.25,,,,,,4cf91e468eac6c3e1168c4a8d689112ea1087512,1998-08-20,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_country_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,,,,,ud,,,animalia,,,,,,,ud exp. farm,,,,,,,,newark,0f60cc10-6a31-4378-816f-d452c73beb62,lepidoptera,arthropoda,"[""urn:uuid:0f60cc10-6a31-4378-816f-d452c73beb62"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\22900485"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\0f60cc10-6a31-4378-816f-d452c73beb62""]",,2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,papilio glaucus,glaucus,232,delaware,1938016,accepted,species,,45f4f63e-558e-4a47-9e0f-36f525045243,20-iix-1998,,,
635dd8f5-4429-4ff6-97d1-f8b0262fd1a4,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",udcc_tcn 00061226,insecta,udcc,303067f9-527d-458e-81ea-0894c44b9e23,,d. s. chang,,,north america,,united states,usa,new castle,1993-07-18T00:00:00+00:00,2016-11-10T16:18:35.574702+00:00,0.25,,,,,,5c7e4ce1fc699b952f4b2afde029fbbbfcd6b5d6,1993-07-18,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_country_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,,,,,ud,,,animalia,,,,,,,elkton road trout stream,,,,,,,,newark,cdd38f93-e523-44ae-b997-f5b73b8b7588,lepidoptera,arthropoda,"[""urn:uuid:cdd38f93-e523-44ae-b997-f5b73b8b7588"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\cdd38f93-e523-44ae-b997-f5b73b8b7588"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\22900585""]",,2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,papilio glaucus,glaucus,199,delaware,1938016,accepted,species,,635dd8f5-4429-4ff6-97d1-f8b0262fd1a4,18 vii 1993,,,
dfcb67b9-3e48-45ea-bf02-79a950935b0a,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",udcc_tcn 00061239,insecta,udcc,303067f9-527d-458e-81ea-0894c44b9e23,,karl kunkle,,,north america,,united states,usa,sussex,1999-09-05T00:00:00+00:00,2016-11-10T16:18:35.574702+00:00,0.25,,,,,,d3fb5321c314fe3f6f867e6ce2d6456331a11725,1999-09-05,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_country_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,,,,,ud,,,animalia,,,,,,,"redden s. f., sweep net",,,,,,,,georgetown,349dca70-b148-4f54-8843-ab56cdd3cad6,lepidoptera,arthropoda,"[""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\349dca70-b148-4f54-8843-ab56cdd3cad6"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\22900797"", ""urn:uuid:349dca70-b148-4f54-8843-ab56cdd3cad6""]",,2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,papilio glaucus,glaucus,248,delaware,1938016,accepted,species,,dfcb67b9-3e48-45ea-bf02-79a950935b0a,5-ix-1999,,,
0f88645b-57e8-4cce-9722-9783b90aebca,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",udcc_tcn 00061238,insecta,udcc,303067f9-527d-458e-81ea-0894c44b9e23,,d. a. baker,,,north america,,united states,usa,chester,1995-09-12T00:00:00+00:00,2016-11-10T16:18:35.574702+00:00,0.25,,,,,,44ce060fcb832d4a5a887644f5aaf904544dfb9f,1995-09-12,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_country_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,,,,,ud,,,animalia,,,,,,,"swett property, by hand",,,,,,,,unionville,6c0dfc7e-205d-4189-b9bf-759abbb983b3,lepidoptera,arthropoda,"[""urn:uuid:6c0dfc7e-205d-4189-b9bf-759abbb983b3"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\22900799"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\6c0dfc7e-205d-4189-b9bf-759abbb983b3""]",,2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,papilio glaucus,glaucus,255,pennsylvania,1938016,accepted,species,,0f88645b-57e8-4cce-9722-9783b90aebca,12 sep. 1995,,,
587dd675-1079-4a3c-96c0-9a6451164cc5,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",180804,insecta,ent,,,j. e. friedel,,,north america,,united states,usa,belmont,1948-05-09T00:00:00+00:00,2016-11-23T10:10:59.791523+00:00,0.29411764705882354,,,,,,c80aa6fe6c81d62b5af00fbe65057b8e81e4828e,1948-05-09,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added"", ""dwc_parentnameusageid_added""]",,papilio,,,,true,true,animalia arthropoda ditrysia insecta pterygota lepidoptera glossata papilionoidea papilionidae papilioninae papilionini papilio glaucus,,1.0,,mcz,b4640710-8e03-11d8-b956-b8a03c50a862,,animalia,,,,,,,st. clairsville,,,,"[""35757932-6484-44ed-8b75-af30707a91dc"", ""a5611cea-0a70-4df7-8851-e62f95420ccd""]",,,,,mcz:ent:180804,lepidoptera,arthropoda,"[""271a9ce9-c6d3-4b63-a722-cb0adc48863f\\mcz:ent:180804""]",,271a9ce9-c6d3-4b63-a722-cb0adc48863f,papilio glaucus,glaucus,130,ohio,1938016,accepted,species,,587dd675-1079-4a3c-96c0-9a6451164cc5,may 9 -48,ohio: belmont co: st. clairsville,,
939be7dd-0846-48ce-8f93-2962f8706157,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",udcc_tcn 00061628,insecta,udcc,303067f9-527d-458e-81ea-0894c44b9e23,,r. w. lake collection,,,,,,,,1947-07-04T00:00:00+00:00,2017-01-26T09:50:01.373767+00:00,0.19117647058823528,,,,,,799414243be3656a6ef7eabce8dcc5a5fc697842,1947-07-04,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,,,,,ud,,,animalia,,,,,,,,,,,,,,,,d2a7507c-872e-4eb2-ba09-95a2fb7d3eb0,lepidoptera,arthropoda,"[""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\23741978"", ""urn:uuid:d2a7507c-872e-4eb2-ba09-95a2fb7d3eb0"", ""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3\\d2a7507c-872e-4eb2-ba09-95a2fb7d3eb0""]",,2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,papilio glaucus,glaucus,185,,1938016,accepted,species,,939be7dd-0846-48ce-8f93-2962f8706157,4 july 47,,,
79f00b7e-51d5-4fbd-824b-5f487c46c684,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 551935,insecta,ent,,,,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,highlands county,1959-08-06T00:00:00+00:00,2017-01-08T07:03:17.985235+00:00,0.23529411764705882,,,,,,501c017370b7ae57e1c2aab1db0106805208e009,1959-08-06,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,bear hollow,,,,,,,,,urn:uuid:2a438523-ca41-4e57-b12f-63dee25eac5d,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:2a438523-ca41-4e57-b12f-63dee25eac5d""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,218,florida,1938016,accepted,species,,79f00b7e-51d5-4fbd-824b-5f487c46c684,,,,
2992849a-6005-4cec-ad10-6f5614303668,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 550460,insecta,ent,,,,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,,1959-08-14T19:59:00-15:00,2017-01-08T07:03:17.985235+00:00,0.22058823529411764,,,,,,e56a9a134e8ce381d31191275147a5a41b1df4e1,1959-08-14/1959-08-15,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,"vicinity of margaret, fannin, and union counties",,,,,,,,,urn:uuid:4e1efe06-8227-4c41-af6c-aab8a716bcad,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:4e1efe06-8227-4c41-af6c-aab8a716bcad""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,226,georgia,1938016,accepted,species,,2992849a-6005-4cec-ad10-6f5614303668,,,,
0a0529cb-f27a-4643-858f-6d5cb441b0d8,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 550457,insecta,ent,,,,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,,1959-08-14T19:59:00-15:00,2017-01-08T07:03:17.985235+00:00,0.22058823529411764,,,,,,9a248683ce24a96929f334e638369bc11cd964c4,1959-08-14/1959-08-15,papilionidae,,"[""dwc_taxonrank_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,"vicinity of margaret, fannin, and union counties",,,,,,,,,urn:uuid:6408e99f-f89d-4337-947a-626aec4e9d1e,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:6408e99f-f89d-4337-947a-626aec4e9d1e""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,226,georgia,1938016,accepted,species,,0a0529cb-f27a-4643-858f-6d5cb441b0d8,,,,
